Blender 4.2.1 LTS (hash 396f546c9d82 built 2024-08-19 23:53:04)
Info: Total files 0 | Changed 0 | Failed 0
Fra:1 Mem:97.94M (Peak 97.94M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_5_7
Fra:1 Mem:97.94M (Peak 97.94M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_7_7
Fra:1 Mem:97.94M (Peak 97.94M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_8_7
Fra:1 Mem:97.94M (Peak 97.94M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_10_7
Fra:1 Mem:97.95M (Peak 97.95M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_11_7
Fra:1 Mem:97.95M (Peak 97.95M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_13_7
Fra:1 Mem:97.95M (Peak 97.95M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_14_7
Fra:1 Mem:97.95M (Peak 97.95M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_15_7
Fra:1 Mem:97.95M (Peak 97.95M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_16_7
Fra:1 Mem:97.96M (Peak 97.96M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_17_7
Fra:1 Mem:97.96M (Peak 97.96M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_18_7
Fra:1 Mem:97.96M (Peak 97.96M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_19_7
Fra:1 Mem:97.96M (Peak 97.96M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | gpu_heatsink_01
Fra:1 Mem:97.96M (Peak 97.96M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | gpu_bay_02
Fra:1 Mem:97.96M (Peak 97.96M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | gpu_heatsink_02
Fra:1 Mem:97.97M (Peak 97.97M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | gpu_bay_03
Fra:1 Mem:97.97M (Peak 97.97M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | gpu_bay_05
Fra:1 Mem:97.97M (Peak 97.97M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | gpu_heatsink_05
Fra:1 Mem:97.98M (Peak 97.98M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | gpu_bay_06
Fra:1 Mem:97.98M (Peak 97.98M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | gpu_bay_07
